epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.78104,2.49678,4.15765,2.1655,0.00568,0.45833,0.01784,0.00534,2.18234,4.34531,2.22076,7.5e-05,7.5e-05,7.5e-05
2,16.5156,2.17851,4.13053,1.95977,0.00808,0.625,0.03044,0.00766,2.02276,4.12127,2.15096,0.000160489,0.000160489,0.000160489
3,24.4297,2.35075,4.30332,2.02332,0.00903,0.70833,0.05937,0.0236,1.81874,4.10762,2.03842,0.000243812,0.000243812,0.000243812
4,32.4754,2.33638,4.10968,2.20265,0.01133,0.91667,0.13592,0.07172,1.64983,3.96091,1.9594,0.00032497,0.00032497,0.00032497
5,40.5528,2.05471,3.69884,1.95057,0.01133,0.91667,0.13592,0.07172,1.64983,3.96091,1.9594,0.000403962,0.000403962,0.000403962
6,48.8049,1.67141,3.52499,1.69919,0.01302,1,0.26225,0.1043,1.70648,3.8587,1.89563,0.000480789,0.000480789,0.000480789
7,57.6196,1.86238,3.61244,1.71912,0.01302,1,0.26225,0.1043,1.70648,3.8587,1.89563,0.00055545,0.00055545,0.00055545
8,66.1427,1.91877,3.71082,1.89358,0.00842,0.70833,0.05153,0.01921,1.59829,3.83775,1.86416,0.000627945,0.000627945,0.000627945
9,74.348,1.55493,3.28271,1.696,0.00842,0.70833,0.05153,0.01921,1.59829,3.83775,1.86416,0.000698275,0.000698275,0.000698275
10,82.574,1.4944,3.28015,1.56021,0.00842,0.70833,0.05153,0.01921,1.59829,3.83775,1.86416,0.000766439,0.000766439,0.000766439
11,90.6012,1.74757,3.51746,1.66817,0.00842,0.70833,0.05153,0.01921,1.59829,3.83775,1.86416,0.000832437,0.000832437,0.000832437
12,99.1375,1.64976,3.14146,1.7166,0.67877,0.375,0.33583,0.1859,1.96426,3.82721,2.22992,0.00089627,0.00089627,0.00089627
13,107.947,1.48782,3.10068,1.56614,0.67877,0.375,0.33583,0.1859,1.96426,3.82721,2.22992,0.000957937,0.000957937,0.000957937
14,116.655,1.48498,2.87258,1.5232,0.67877,0.375,0.33583,0.1859,1.96426,3.82721,2.22992,0.00101744,0.00101744,0.00101744
15,125.383,1.68459,3.19656,1.74474,0.67877,0.375,0.33583,0.1859,1.96426,3.82721,2.22992,0.00103344,0.00103344,0.00103344
