epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,415.617,1.17348,2.12416,1.3293,0.85033,0.74065,0.80775,0.4541,1.48621,2.20191,1.66375,0.000615781,0.000615781,0.000615781
43,425.852,1.25775,2.55608,1.38731,0.85033,0.74065,0.80775,0.4541,1.48621,2.20191,1.66375,0.000600313,0.000600313,0.000600313
44,436.459,1.23797,2.15395,1.45873,0.97088,0.75131,0.83161,0.50766,1.37226,2.17564,1.58589,0.000584844,0.000584844,0.000584844
45,446.956,1.17755,1.73084,1.28491,0.97088,0.75131,0.83161,0.50766,1.37226,2.17564,1.58589,0.000569375,0.000569375,0.000569375
46,457.224,1.05201,1.89445,1.20322,0.97088,0.75131,0.83161,0.50766,1.37226,2.17564,1.58589,0.000553906,0.000553906,0.000553906
47,467.771,1.21674,1.8876,1.26601,0.97088,0.75131,0.83161,0.50766,1.37226,2.17564,1.58589,0.000538438,0.000538438,0.000538438
48,478.232,1.19956,1.90537,1.33563,0.89881,0.69856,0.80502,0.51993,1.29884,2.06777,1.52071,0.000522969,0.000522969,0.000522969
49,488.774,1.22331,2.00096,1.33571,0.89881,0.69856,0.80502,0.51993,1.29884,2.06777,1.52071,0.0005075,0.0005075,0.0005075
50,499.443,1.21064,1.96514,1.46266,0.89881,0.69856,0.80502,0.51993,1.29884,2.06777,1.52071,0.000492031,0.000492031,0.000492031
51,509.859,1.19106,1.8502,1.28416,0.89881,0.69856,0.80502,0.51993,1.29884,2.06777,1.52071,0.000476562,0.000476562,0.000476562
52,520.673,1.07719,1.70029,1.20099,0.89881,0.69856,0.80502,0.51993,1.29884,2.06777,1.52071,0.000461094,0.000461094,0.000461094
53,531.436,1.16438,1.83797,1.31271,0.84122,0.69851,0.80862,0.4905,1.2565,2.03091,1.47096,0.000445625,0.000445625,0.000445625
54,541.737,1.13283,1.86675,1.30749,0.84122,0.69851,0.80862,0.4905,1.2565,2.03091,1.47096,0.000430156,0.000430156,0.000430156
55,552.024,1.05225,1.78553,1.29969,0.84122,0.69851,0.80862,0.4905,1.2565,2.03091,1.47096,0.000414688,0.000414688,0.000414688
56,562.263,1.17193,1.68061,1.28319,0.84122,0.69851,0.80862,0.4905,1.2565,2.03091,1.47096,0.000399219,0.000399219,0.000399219
57,572.4,1.21651,1.79313,1.40487,0.89523,0.78085,0.84372,0.51926,1.13732,1.92127,1.42407,0.00038375,0.00038375,0.00038375
58,582.859,1.13693,1.81251,1.32052,0.89523,0.78085,0.84372,0.51926,1.13732,1.92127,1.42407,0.000368281,0.000368281,0.000368281
59,593.298,1.13962,1.71337,1.29488,0.89523,0.78085,0.84372,0.51926,1.13732,1.92127,1.42407,0.000352812,0.000352812,0.000352812
60,604.175,1.01431,1.46378,1.20948,0.89523,0.78085,0.84372,0.51926,1.13732,1.92127,1.42407,0.000337344,0.000337344,0.000337344
61,614.698,1.0684,1.72539,1.23887,0.89523,0.78085,0.84372,0.51926,1.13732,1.92127,1.42407,0.000321875,0.000321875,0.000321875
62,625.168,1.05283,1.53967,1.20642,0.91748,0.82124,0.8456,0.54471,1.07089,1.84299,1.39899,0.000306406,0.000306406,0.000306406
63,635.507,1.0937,1.93861,1.37597,0.91748,0.82124,0.8456,0.54471,1.07089,1.84299,1.39899,0.000290937,0.000290937,0.000290937
64,646.18,1.07252,1.90691,1.31383,0.91748,0.82124,0.8456,0.54471,1.07089,1.84299,1.39899,0.000275469,0.000275469,0.000275469
65,656.692,1.23215,1.74401,1.2962,0.91748,0.82124,0.8456,0.54471,1.07089,1.84299,1.39899,0.00026,0.00026,0.00026
66,667.811,1.13094,1.93143,1.38953,0.91748,0.82124,0.8456,0.54471,1.07089,1.84299,1.39899,0.000244531,0.000244531,0.000244531
67,678.329,0.99103,1.47241,1.16409,0.94443,0.82008,0.84719,0.56022,1.04414,1.80982,1.37284,0.000229063,0.000229063,0.000229063
68,688.936,0.94508,1.63637,1.22684,0.94443,0.82008,0.84719,0.56022,1.04414,1.80982,1.37284,0.000213594,0.000213594,0.000213594
69,699.773,1.09429,1.49579,1.20095,0.94443,0.82008,0.84719,0.56022,1.04414,1.80982,1.37284,0.000198125,0.000198125,0.000198125
70,710.575,1.08238,1.47135,1.22563,0.94443,0.82008,0.84719,0.56022,1.04414,1.80982,1.37284,0.000182656,0.000182656,0.000182656
71,721.187,1.14864,2.09666,1.48387,0.94474,0.80347,0.84457,0.55594,1.01455,1.85177,1.34175,0.000167188,0.000167188,0.000167188
72,731.845,1.23716,2.33098,1.52579,0.94474,0.80347,0.84457,0.55594,1.01455,1.85177,1.34175,0.000151719,0.000151719,0.000151719
73,742.497,1.01524,2.0639,1.25503,0.94474,0.80347,0.84457,0.55594,1.01455,1.85177,1.34175,0.00013625,0.00013625,0.00013625
74,753.481,1.21294,2.47391,1.42509,0.94474,0.80347,0.84457,0.55594,1.01455,1.85177,1.34175,0.000120781,0.000120781,0.000120781
75,763.599,0.92538,1.86816,1.31017,0.94474,0.80347,0.84457,0.55594,1.01455,1.85177,1.34175,0.000105312,0.000105312,0.000105312
76,774.214,0.98308,1.86754,1.22213,0.8968,0.78562,0.84286,0.48475,1.11112,2.05215,1.42924,8.98437e-05,8.98437e-05,8.98437e-05
77,784.741,1.12843,1.97199,1.25461,0.8968,0.78562,0.84286,0.48475,1.11112,2.05215,1.42924,7.4375e-05,7.4375e-05,7.4375e-05
78,795.458,1.02068,1.89009,1.3823,0.8968,0.78562,0.84286,0.48475,1.11112,2.05215,1.42924,5.89062e-05,5.89062e-05,5.89062e-05
79,805.829,1.11717,2.17205,1.46045,0.8968,0.78562,0.84286,0.48475,1.11112,2.05215,1.42924,4.34375e-05,4.34375e-05,4.34375e-05
80,816.286,1.05075,1.912,1.19521,0.8495,0.78216,0.83783,0.4973,1.17902,2.13974,1.51477,2.79687e-05,2.79687e-05,2.79687e-05
