epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2299,2.4122,4.06126,2.11021,0.00509,0.375,0.01267,0.00446,2.10575,3.92447,2.2045,7.5e-05,7.5e-05,7.5e-05
2,23.5733,2.10144,3.91975,1.85196,0.00658,0.45833,0.02977,0.00624,1.90489,3.81824,2.06713,0.000160489,0.000160489,0.000160489
3,33.8717,2.20627,4.00545,2.02052,0.00903,0.58333,0.03718,0.02184,1.64107,3.77833,1.95565,0.000243812,0.000243812,0.000243812
4,44.3859,2.04067,3.82859,2.02648,0.01109,0.625,0.10847,0.06228,1.50818,3.76834,1.77883,0.00032497,0.00032497,0.00032497
5,54.9781,1.77483,3.51463,1.81299,0.01109,0.625,0.10847,0.06228,1.50818,3.76834,1.77883,0.000403962,0.000403962,0.000403962
6,65.9795,1.614,3.37736,1.71318,0.01084,0.625,0.14234,0.08278,1.31105,3.66821,1.70946,0.000480789,0.000480789,0.000480789
7,77.0355,1.54942,3.35723,1.60246,0.01084,0.625,0.14234,0.08278,1.31105,3.66821,1.70946,0.00055545,0.00055545,0.00055545
8,87.4379,1.59008,3.38844,1.63633,0.89667,0.16667,0.25135,0.11949,1.37317,3.5445,1.80926,0.000627945,0.000627945,0.000627945
9,97.7636,1.36318,2.9896,1.51577,0.89667,0.16667,0.25135,0.11949,1.37317,3.5445,1.80926,0.000698275,0.000698275,0.000698275
10,107.878,1.27338,3.09416,1.47832,0.89667,0.16667,0.25135,0.11949,1.37317,3.5445,1.80926,0.000766439,0.000766439,0.000766439
11,118.372,1.54274,3.07288,1.56758,0.89667,0.16667,0.25135,0.11949,1.37317,3.5445,1.80926,0.000832437,0.000832437,0.000832437
12,129.256,1.34934,2.74491,1.49216,0.91542,0.16667,0.40516,0.15608,1.34352,3.13589,1.67699,0.00089627,0.00089627,0.00089627
13,141.614,1.25909,2.77115,1.48265,0.91542,0.16667,0.40516,0.15608,1.34352,3.13589,1.67699,0.000957937,0.000957937,0.000957937
14,155.504,1.27334,2.74674,1.48645,0.91542,0.16667,0.40516,0.15608,1.34352,3.13589,1.67699,0.00101744,0.00101744,0.00101744
15,173.659,1.52539,2.87506,1.60942,0.91542,0.16667,0.40516,0.15608,1.34352,3.13589,1.67699,0.00103344,0.00103344,0.00103344
16,185.781,1.09651,2.48119,1.34329,0.38192,0.57457,0.66277,0.3324,1.30353,2.59139,1.62062,0.00101797,0.00101797,0.00101797
17,202.776,1.27783,2.40734,1.49765,0.38192,0.57457,0.66277,0.3324,1.30353,2.59139,1.62062,0.0010025,0.0010025,0.0010025
18,216.111,1.31299,2.40192,1.3579,0.38192,0.57457,0.66277,0.3324,1.30353,2.59139,1.62062,0.000987031,0.000987031,0.000987031
19,227.353,1.64353,3.23446,1.7051,0.38192,0.57457,0.66277,0.3324,1.30353,2.59139,1.62062,0.000971562,0.000971562,0.000971562
