epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1217.7,0.99271,1.6803,1.27613,0.72793,0.74959,0.85315,0.59132,1.08316,1.55384,1.36048,0.000615781,0.000615781,0.000615781
43,1244.04,1.16073,1.82749,1.36174,0.72793,0.74959,0.85315,0.59132,1.08316,1.55384,1.36048,0.000600313,0.000600313,0.000600313
44,1276.32,1.1523,1.65381,1.34306,0.73947,0.82173,0.92635,0.6482,1.00559,1.47856,1.28852,0.000584844,0.000584844,0.000584844
45,1306.15,0.97456,1.35022,1.194,0.73947,0.82173,0.92635,0.6482,1.00559,1.47856,1.28852,0.000569375,0.000569375,0.000569375
46,1335.13,0.9916,1.32028,1.20194,0.73947,0.82173,0.92635,0.6482,1.00559,1.47856,1.28852,0.000553906,0.000553906,0.000553906
47,1368.73,1.01007,1.46766,1.18564,0.73947,0.82173,0.92635,0.6482,1.00559,1.47856,1.28852,0.000538438,0.000538438,0.000538438
48,1397.02,0.99742,1.51728,1.22732,0.97321,0.84941,0.94046,0.60575,1.01297,1.33483,1.26351,0.000522969,0.000522969,0.000522969
49,1424.2,0.93062,1.23104,1.19111,0.97321,0.84941,0.94046,0.60575,1.01297,1.33483,1.26351,0.0005075,0.0005075,0.0005075
50,1451.7,0.99883,1.34545,1.20616,0.97321,0.84941,0.94046,0.60575,1.01297,1.33483,1.26351,0.000492031,0.000492031,0.000492031
51,1479.15,0.95817,1.2307,1.08981,0.97321,0.84941,0.94046,0.60575,1.01297,1.33483,1.26351,0.000476562,0.000476562,0.000476562
52,1510.21,1.01858,1.20538,1.21552,0.97321,0.84941,0.94046,0.60575,1.01297,1.33483,1.26351,0.000461094,0.000461094,0.000461094
53,1536.88,0.99995,1.22064,1.16568,0.77904,0.96088,0.93313,0.65737,0.98518,1.49687,1.27379,0.000445625,0.000445625,0.000445625
54,1564.23,0.96344,1.23646,1.184,0.77904,0.96088,0.93313,0.65737,0.98518,1.49687,1.27379,0.000430156,0.000430156,0.000430156
55,1593.88,0.94987,1.22515,1.1935,0.77904,0.96088,0.93313,0.65737,0.98518,1.49687,1.27379,0.000414688,0.000414688,0.000414688
56,1619.64,0.92017,1.1406,1.13816,0.77904,0.96088,0.93313,0.65737,0.98518,1.49687,1.27379,0.000399219,0.000399219,0.000399219
57,1647.06,0.97346,1.20204,1.18671,0.8858,0.8547,0.93725,0.66985,1.02993,1.11605,1.30254,0.00038375,0.00038375,0.00038375
58,1676.34,0.87909,1.05205,1.09383,0.8858,0.8547,0.93725,0.66985,1.02993,1.11605,1.30254,0.000368281,0.000368281,0.000368281
59,1706.49,0.92947,1.06218,1.14608,0.8858,0.8547,0.93725,0.66985,1.02993,1.11605,1.30254,0.000352812,0.000352812,0.000352812
60,1730.88,0.85092,0.96586,1.08836,0.8858,0.8547,0.93725,0.66985,1.02993,1.11605,1.30254,0.000337344,0.000337344,0.000337344
61,1755.65,0.91246,1.17523,1.09896,0.8858,0.8547,0.93725,0.66985,1.02993,1.11605,1.30254,0.000321875,0.000321875,0.000321875
62,1780.67,0.8752,0.98338,1.13146,0.9875,0.91095,0.92553,0.67686,0.99484,1.07871,1.28655,0.000306406,0.000306406,0.000306406
63,1805.23,1.05472,1.20709,1.32992,0.9875,0.91095,0.92553,0.67686,0.99484,1.07871,1.28655,0.000290937,0.000290937,0.000290937
64,1830.09,0.81523,1.05404,1.21096,0.9875,0.91095,0.92553,0.67686,0.99484,1.07871,1.28655,0.000275469,0.000275469,0.000275469
65,1855.02,0.97904,1.16681,1.07341,0.9875,0.91095,0.92553,0.67686,0.99484,1.07871,1.28655,0.00026,0.00026,0.00026
66,1880.53,0.94273,1.14356,1.27041,0.9875,0.91095,0.92553,0.67686,0.99484,1.07871,1.28655,0.000244531,0.000244531,0.000244531
67,1906.36,0.83398,0.80079,1.05111,0.93622,0.8991,0.93018,0.7037,0.94456,1.02588,1.25384,0.000229063,0.000229063,0.000229063
68,1935.47,0.92685,0.97117,1.19084,0.93622,0.8991,0.93018,0.7037,0.94456,1.02588,1.25384,0.000213594,0.000213594,0.000213594
69,1966.98,0.89172,0.95088,1.07014,0.93622,0.8991,0.93018,0.7037,0.94456,1.02588,1.25384,0.000198125,0.000198125,0.000198125
70,1991.75,0.88146,0.86167,1.08012,0.93622,0.8991,0.93018,0.7037,0.94456,1.02588,1.25384,0.000182656,0.000182656,0.000182656
71,2016.68,1.04468,1.16539,1.25326,0.9391,0.87301,0.94,0.72539,0.93787,0.97296,1.24695,0.000167188,0.000167188,0.000167188
72,2041.34,1.11599,1.33493,1.25864,0.9391,0.87301,0.94,0.72539,0.93787,0.97296,1.24695,0.000151719,0.000151719,0.000151719
73,2065.37,0.83353,0.93451,1.0462,0.9391,0.87301,0.94,0.72539,0.93787,0.97296,1.24695,0.00013625,0.00013625,0.00013625
74,2089.59,0.93163,1.08359,1.06335,0.9391,0.87301,0.94,0.72539,0.93787,0.97296,1.24695,0.000120781,0.000120781,0.000120781
75,2113.99,0.87368,0.97034,1.22014,0.9391,0.87301,0.94,0.72539,0.93787,0.97296,1.24695,0.000105312,0.000105312,0.000105312
76,2138.71,0.84204,0.93553,1.08849,0.92338,0.81821,0.94138,0.71631,0.90644,0.99677,1.24499,8.98437e-05,8.98437e-05,8.98437e-05
77,2163.31,0.84391,0.95263,1.07968,0.92338,0.81821,0.94138,0.71631,0.90644,0.99677,1.24499,7.4375e-05,7.4375e-05,7.4375e-05
78,2188.24,0.9533,1.07693,1.22789,0.92338,0.81821,0.94138,0.71631,0.90644,0.99677,1.24499,5.89062e-05,5.89062e-05,5.89062e-05
79,2214.16,0.91979,1.10297,1.24466,0.92338,0.81821,0.94138,0.71631,0.90644,0.99677,1.24499,4.34375e-05,4.34375e-05,4.34375e-05
80,2241.38,0.90685,0.97798,1.08436,0.93585,0.79281,0.95375,0.71959,0.90645,1.01925,1.24401,2.79687e-05,2.79687e-05,2.79687e-05
