epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6585,2.88955,5.71655,2.45116,0.01003,0.375,0.01418,0.00422,2.27685,4.8526,2.42607,7.5e-05,7.5e-05,7.5e-05
2,52.6741,2.32864,4.38472,2.06044,0.01653,0.54167,0.04522,0.00847,1.98063,4.96421,2.20889,0.000160489,0.000160489,0.000160489
3,81.5308,2.72725,4.3881,2.31603,0.04374,0.32176,0.10305,0.03976,1.84654,5.11351,1.97967,0.000243812,0.000243812,0.000243812
4,104.826,2.2078,3.94562,2.01942,0.07548,0.41667,0.06778,0.02789,2.16862,6.07465,2.0699,0.00032497,0.00032497,0.00032497
5,128.094,2.09618,3.14201,1.88574,0.07548,0.41667,0.06778,0.02789,2.16862,6.07465,2.0699,0.000403962,0.000403962,0.000403962
6,151.56,1.75601,2.60171,1.67694,1,0.24236,0.29312,0.09105,2.12652,4.9977,1.89087,0.000480789,0.000480789,0.000480789
7,175.466,1.8675,2.91488,1.64753,1,0.24236,0.29312,0.09105,2.12652,4.9977,1.89087,0.00055545,0.00055545,0.00055545
8,198.669,1.92204,3.30288,1.79634,0.30811,0.08588,0.1738,0.0817,1.90799,3.95755,2.09893,0.000627945,0.000627945,0.000627945
9,221.953,1.5203,2.95311,1.55987,0.30811,0.08588,0.1738,0.0817,1.90799,3.95755,2.09893,0.000698275,0.000698275,0.000698275
10,244.627,1.50745,2.94855,1.54385,0.30811,0.08588,0.1738,0.0817,1.90799,3.95755,2.09893,0.000766439,0.000766439,0.000766439
11,267.427,1.67925,3.14582,1.61601,0.30811,0.08588,0.1738,0.0817,1.90799,3.95755,2.09893,0.000832437,0.000832437,0.000832437
12,290.526,1.59192,2.78773,1.61957,0.80052,0.29167,0.49654,0.24054,1.55522,3.25242,1.87647,0.00089627,0.00089627,0.00089627
13,314.561,1.4384,2.58101,1.51603,0.80052,0.29167,0.49654,0.24054,1.55522,3.25242,1.87647,0.000957937,0.000957937,0.000957937
14,337.558,1.41223,2.5269,1.49226,0.80052,0.29167,0.49654,0.24054,1.55522,3.25242,1.87647,0.00101744,0.00101744,0.00101744
15,360.694,1.67436,2.90193,1.74927,0.80052,0.29167,0.49654,0.24054,1.55522,3.25242,1.87647,0.00103344,0.00103344,0.00103344
16,384.215,1.41399,2.50983,1.50666,0.77067,0.33333,0.33883,0.11904,1.92069,8.29893,2.20913,0.00101797,0.00101797,0.00101797
17,408.616,1.38045,2.83727,1.47428,0.77067,0.33333,0.33883,0.11904,1.92069,8.29893,2.20913,0.0010025,0.0010025,0.0010025
18,432.567,1.60271,2.75971,1.52526,0.77067,0.33333,0.33883,0.11904,1.92069,8.29893,2.20913,0.000987031,0.000987031,0.000987031
19,456.527,1.60002,2.95609,1.54643,0.77067,0.33333,0.33883,0.11904,1.92069,8.29893,2.20913,0.000971562,0.000971562,0.000971562
20,480.31,1.41191,2.65947,1.47695,0.77067,0.33333,0.33883,0.11904,1.92069,8.29893,2.20913,0.000956094,0.000956094,0.000956094
21,504.044,1.50755,2.73026,1.53864,0.20313,0.399,0.27876,0.08921,1.94467,3.11021,2.10905,0.000940625,0.000940625,0.000940625
22,527.551,1.32573,2.67839,1.46345,0.20313,0.399,0.27876,0.08921,1.94467,3.11021,2.10905,0.000925156,0.000925156,0.000925156
23,550.854,1.56362,2.92712,1.51337,0.20313,0.399,0.27876,0.08921,1.94467,3.11021,2.10905,0.000909688,0.000909688,0.000909688
24,577.075,1.53917,2.86502,1.60713,0.20313,0.399,0.27876,0.08921,1.94467,3.11021,2.10905,0.000894219,0.000894219,0.000894219
25,602.813,1.48547,2.62828,1.49874,0.71572,0.54167,0.59325,0.26336,1.49557,3.68945,1.61089,0.00087875,0.00087875,0.00087875
26,628.169,1.48569,2.6824,1.51625,0.71572,0.54167,0.59325,0.26336,1.49557,3.68945,1.61089,0.000863281,0.000863281,0.000863281
27,653.945,1.38173,2.21127,1.41611,0.71572,0.54167,0.59325,0.26336,1.49557,3.68945,1.61089,0.000847813,0.000847813,0.000847813
28,680.04,1.43173,2.35566,1.50122,0.71572,0.54167,0.59325,0.26336,1.49557,3.68945,1.61089,0.000832344,0.000832344,0.000832344
29,707.492,1.40136,2.19449,1.47015,0.71572,0.54167,0.59325,0.26336,1.49557,3.68945,1.61089,0.000816875,0.000816875,0.000816875
30,735.427,1.30715,2.5793,1.49697,0.12202,0.54167,0.17315,0.12331,1.68416,12.9536,1.76666,0.000801406,0.000801406,0.000801406
31,762.484,1.34315,2.17462,1.43684,0.12202,0.54167,0.17315,0.12331,1.68416,12.9536,1.76666,0.000785938,0.000785938,0.000785938
32,786.72,1.28576,2.32857,1.38969,0.12202,0.54167,0.17315,0.12331,1.68416,12.9536,1.76666,0.000770469,0.000770469,0.000770469
33,810.934,1.30335,2.0863,1.4085,0.12202,0.54167,0.17315,0.12331,1.68416,12.9536,1.76666,0.000755,0.000755,0.000755
34,836.148,1.48029,2.47422,1.49573,0.12202,0.54167,0.17315,0.12331,1.68416,12.9536,1.76666,0.000739531,0.000739531,0.000739531
35,861.675,1.19619,1.93725,1.43035,0.61491,0.45833,0.65042,0.43877,1.238,2.17858,1.50601,0.000724062,0.000724062,0.000724062
36,888.316,1.23455,2.02114,1.39803,0.61491,0.45833,0.65042,0.43877,1.238,2.17858,1.50601,0.000708594,0.000708594,0.000708594
37,916.624,1.24981,2.02178,1.39829,0.61491,0.45833,0.65042,0.43877,1.238,2.17858,1.50601,0.000693125,0.000693125,0.000693125
38,943.638,1.2895,1.959,1.40285,0.61491,0.45833,0.65042,0.43877,1.238,2.17858,1.50601,0.000677656,0.000677656,0.000677656
39,969.148,1.31759,2.13832,1.48182,0.75589,0.45833,0.60413,0.40899,1.26398,2.33604,1.58077,0.000662188,0.000662188,0.000662188
40,994.459,1.65659,2.24557,1.64556,0.75589,0.45833,0.60413,0.40899,1.26398,2.33604,1.58077,0.000646719,0.000646719,0.000646719
41,1020.33,1.33247,1.9466,1.51039,0.75589,0.45833,0.60413,0.40899,1.26398,2.33604,1.58077,0.00063125,0.00063125,0.00063125
42,1050.02,1.22935,1.94504,1.38746,0.75589,0.45833,0.60413,0.40899,1.26398,2.33604,1.58077,0.000615781,0.000615781,0.000615781
43,1077.93,1.2413,2.37308,1.40725,0.75589,0.45833,0.60413,0.40899,1.26398,2.33604,1.58077,0.000600313,0.000600313,0.000600313
44,1104.21,1.30632,1.91574,1.55801,0.78291,0.45833,0.63263,0.35984,1.39311,2.24942,1.65343,0.000584844,0.000584844,0.000584844
45,1131.19,1.16531,1.59421,1.27566,0.78291,0.45833,0.63263,0.35984,1.39311,2.24942,1.65343,0.000569375,0.000569375,0.000569375
46,1156.42,1.15353,1.70419,1.28515,0.78291,0.45833,0.63263,0.35984,1.39311,2.24942,1.65343,0.000553906,0.000553906,0.000553906
47,1181.72,1.16487,1.65642,1.29371,0.78291,0.45833,0.63263,0.35984,1.39311,2.24942,1.65343,0.000538438,0.000538438,0.000538438
48,1211.73,1.13854,1.71669,1.34265,0.83041,0.81472,0.84085,0.47782,1.27652,1.86635,1.58439,0.000522969,0.000522969,0.000522969
49,1240.74,1.20337,1.64336,1.35488,0.83041,0.81472,0.84085,0.47782,1.27652,1.86635,1.58439,0.0005075,0.0005075,0.0005075
50,1270.04,1.21033,1.5987,1.48784,0.83041,0.81472,0.84085,0.47782,1.27652,1.86635,1.58439,0.000492031,0.000492031,0.000492031
51,1298.74,1.25493,1.62888,1.30641,0.83041,0.81472,0.84085,0.47782,1.27652,1.86635,1.58439,0.000476562,0.000476562,0.000476562
52,1326.66,1.10536,1.39778,1.19687,0.83041,0.81472,0.84085,0.47782,1.27652,1.86635,1.58439,0.000461094,0.000461094,0.000461094
53,1353.29,1.19317,1.59913,1.33655,0.82117,0.78,0.84733,0.50031,1.28182,1.74715,1.62436,0.000445625,0.000445625,0.000445625
54,1379.27,1.14205,1.54997,1.2919,0.82117,0.78,0.84733,0.50031,1.28182,1.74715,1.62436,0.000430156,0.000430156,0.000430156
55,1404.94,1.10735,1.41947,1.33754,0.82117,0.78,0.84733,0.50031,1.28182,1.74715,1.62436,0.000414688,0.000414688,0.000414688
56,1429.67,1.12901,1.49429,1.26782,0.82117,0.78,0.84733,0.50031,1.28182,1.74715,1.62436,0.000399219,0.000399219,0.000399219
57,1454.78,1.21964,1.49707,1.40936,0.90706,0.77383,0.86838,0.53354,1.19908,1.49991,1.57583,0.00038375,0.00038375,0.00038375
58,1480.09,1.13438,1.31412,1.30177,0.90706,0.77383,0.86838,0.53354,1.19908,1.49991,1.57583,0.000368281,0.000368281,0.000368281
59,1505.06,1.14791,1.35607,1.29781,0.90706,0.77383,0.86838,0.53354,1.19908,1.49991,1.57583,0.000352812,0.000352812,0.000352812
60,1531.21,1.00403,1.21532,1.19548,0.90706,0.77383,0.86838,0.53354,1.19908,1.49991,1.57583,0.000337344,0.000337344,0.000337344
61,1556.59,1.06147,1.37162,1.24296,0.90706,0.77383,0.86838,0.53354,1.19908,1.49991,1.57583,0.000321875,0.000321875,0.000321875
62,1582.09,1.07854,1.27111,1.19091,0.86067,0.79216,0.87,0.54724,1.21511,1.37873,1.57104,0.000306406,0.000306406,0.000306406
63,1608.37,1.06472,1.50139,1.3303,0.86067,0.79216,0.87,0.54724,1.21511,1.37873,1.57104,0.000290937,0.000290937,0.000290937
64,1633.62,1.11219,1.24803,1.28551,0.86067,0.79216,0.87,0.54724,1.21511,1.37873,1.57104,0.000275469,0.000275469,0.000275469
65,1659.78,1.22815,1.3276,1.25182,0.86067,0.79216,0.87,0.54724,1.21511,1.37873,1.57104,0.00026,0.00026,0.00026
66,1685.51,1.06959,1.51861,1.29476,0.86067,0.79216,0.87,0.54724,1.21511,1.37873,1.57104,0.000244531,0.000244531,0.000244531
67,1715.16,0.96298,1.04619,1.13194,0.93554,0.82493,0.89839,0.61251,1.12466,1.35729,1.48278,0.000229063,0.000229063,0.000229063
68,1745.68,0.97179,1.17717,1.21139,0.93554,0.82493,0.89839,0.61251,1.12466,1.35729,1.48278,0.000213594,0.000213594,0.000213594
69,1771.43,1.02938,1.12718,1.18751,0.93554,0.82493,0.89839,0.61251,1.12466,1.35729,1.48278,0.000198125,0.000198125,0.000198125
70,1798.29,1.00729,1.10247,1.19151,0.93554,0.82493,0.89839,0.61251,1.12466,1.35729,1.48278,0.000182656,0.000182656,0.000182656
71,1823.37,1.17373,1.43613,1.52329,0.93198,0.83333,0.88637,0.61394,1.0867,1.32355,1.44528,0.000167188,0.000167188,0.000167188
72,1848.11,1.12441,1.61111,1.4194,0.93198,0.83333,0.88637,0.61394,1.0867,1.32355,1.44528,0.000151719,0.000151719,0.000151719
73,1874.78,1.01295,1.33962,1.23912,0.93198,0.83333,0.88637,0.61394,1.0867,1.32355,1.44528,0.00013625,0.00013625,0.00013625
74,1901.06,0.98092,1.53537,1.17659,0.93198,0.83333,0.88637,0.61394,1.0867,1.32355,1.44528,0.000120781,0.000120781,0.000120781
75,1925.64,0.82805,1.20199,1.2266,0.93198,0.83333,0.88637,0.61394,1.0867,1.32355,1.44528,0.000105312,0.000105312,0.000105312
76,1951.17,0.97175,1.12489,1.21575,0.84067,0.83333,0.86713,0.61476,1.076,1.3456,1.43669,8.98437e-05,8.98437e-05,8.98437e-05
77,1976.54,1.07301,1.19736,1.23379,0.84067,0.83333,0.86713,0.61476,1.076,1.3456,1.43669,7.4375e-05,7.4375e-05,7.4375e-05
78,2001.9,0.96482,1.19782,1.32753,0.84067,0.83333,0.86713,0.61476,1.076,1.3456,1.43669,5.89062e-05,5.89062e-05,5.89062e-05
79,2026.4,1.0072,1.30839,1.37803,0.84067,0.83333,0.86713,0.61476,1.076,1.3456,1.43669,4.34375e-05,4.34375e-05,4.34375e-05
80,2052.06,0.9938,1.15787,1.17908,0.81792,0.83333,0.8795,0.59569,1.0907,1.41644,1.43391,2.79687e-05,2.79687e-05,2.79687e-05
